Compound,Negative,Neutral,Positive,Tweet Date,Tweets Ago,User
-0.7845,0.685,0.315,0.0,Mon Sep 17 22:22:49 +0000 2018,89,@CBSNews
-0.7906,0.767,0.233,0.0,Mon Sep 17 22:22:45 +0000 2018,90,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:22:31 +0000 2018,91,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:22:28 +0000 2018,92,@CBSNews
-0.8271,0.732,0.268,0.0,Mon Sep 17 22:22:25 +0000 2018,93,@CBSNews
-0.6476,0.482,0.518,0.0,Mon Sep 17 22:22:19 +0000 2018,94,@CBSNews
-0.296,0.916,0.084,0.0,Mon Sep 17 22:22:11 +0000 2018,95,@CBSNews
-0.4364,0.727,0.186,0.087,Mon Sep 17 22:22:04 +0000 2018,96,@CBSNews
-0.3612,0.898,0.102,0.0,Mon Sep 17 22:21:48 +0000 2018,97,@CBSNews
0.4976,0.795,0.044,0.161,Mon Sep 17 22:21:48 +0000 2018,98,@CBSNews
0.7906,0.708,0.0,0.292,Mon Sep 17 22:21:41 +0000 2018,99,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:35 +0000 2018,100,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:35 +0000 2018,1,@CNN
0.5574,0.841,0.0,0.159,Mon Sep 17 22:21:34 +0000 2018,2,@CNN
-0.6124,0.75,0.25,0.0,Mon Sep 17 22:21:33 +0000 2018,3,@CNN
0.8724,0.502,0.0,0.498,Mon Sep 17 22:21:33 +0000 2018,4,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:33 +0000 2018,5,@CNN
-0.0772,0.803,0.104,0.092,Mon Sep 17 22:21:31 +0000 2018,6,@CNN
0.5574,0.841,0.0,0.159,Mon Sep 17 22:21:29 +0000 2018,7,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:29 +0000 2018,8,@CNN
-0.5449,0.844,0.156,0.0,Mon Sep 17 22:21:29 +0000 2018,9,@CNN
0.1779,0.892,0.0,0.108,Mon Sep 17 22:21:28 +0000 2018,10,@CNN
0.3182,0.813,0.0,0.187,Mon Sep 17 22:21:28 +0000 2018,11,@CNN
-0.3612,0.884,0.116,0.0,Mon Sep 17 22:21:26 +0000 2018,12,@CNN
-0.4019,0.828,0.172,0.0,Mon Sep 17 22:21:25 +0000 2018,13,@CNN
0.3612,0.731,0.078,0.192,Mon Sep 17 22:21:24 +0000 2018,14,@CNN
0.4939,0.856,0.0,0.144,Mon Sep 17 22:21:21 +0000 2018,15,@CNN
0.5574,0.841,0.0,0.159,Mon Sep 17 22:21:19 +0000 2018,16,@CNN
0.4939,0.856,0.0,0.144,Mon Sep 17 22:21:19 +0000 2018,17,@CNN
0.4939,0.856,0.0,0.144,Mon Sep 17 22:21:17 +0000 2018,18,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:13 +0000 2018,19,@CNN
-0.6369,0.729,0.271,0.0,Mon Sep 17 22:21:12 +0000 2018,20,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:09 +0000 2018,21,@CNN
0.4939,0.856,0.0,0.144,Mon Sep 17 22:21:08 +0000 2018,22,@CNN
0.4215,0.714,0.0,0.286,Mon Sep 17 22:21:07 +0000 2018,23,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:07 +0000 2018,24,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:06 +0000 2018,25,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:06 +0000 2018,26,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:06 +0000 2018,27,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:05 +0000 2018,28,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:04 +0000 2018,29,@CNN
0.2732,0.896,0.0,0.104,Mon Sep 17 22:21:04 +0000 2018,30,@CNN
-0.3818,0.86,0.14,0.0,Mon Sep 17 22:21:03 +0000 2018,31,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:03 +0000 2018,32,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:21:02 +0000 2018,33,@CNN
0.4199,0.843,0.0,0.157,Mon Sep 17 22:21:00 +0000 2018,34,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:59 +0000 2018,35,@CNN
0.296,0.896,0.0,0.104,Mon Sep 17 22:20:58 +0000 2018,36,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:58 +0000 2018,37,@CNN
-0.2263,0.905,0.095,0.0,Mon Sep 17 22:20:54 +0000 2018,38,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:52 +0000 2018,39,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:51 +0000 2018,40,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:51 +0000 2018,41,@CNN
0.4767,0.549,0.0,0.451,Mon Sep 17 22:20:50 +0000 2018,42,@CNN
-0.5267,0.861,0.139,0.0,Mon Sep 17 22:20:50 +0000 2018,43,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:46 +0000 2018,44,@CNN
0.4404,0.805,0.0,0.195,Mon Sep 17 22:20:43 +0000 2018,45,@CNN
0.2732,0.896,0.0,0.104,Mon Sep 17 22:20:43 +0000 2018,46,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:41 +0000 2018,47,@CNN
0.1779,0.892,0.0,0.108,Mon Sep 17 22:20:40 +0000 2018,48,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:39 +0000 2018,49,@CNN
0.5574,0.841,0.0,0.159,Mon Sep 17 22:20:39 +0000 2018,50,@CNN
0.4927,0.715,0.0,0.285,Mon Sep 17 22:20:38 +0000 2018,51,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:37 +0000 2018,52,@CNN
-0.296,0.885,0.115,0.0,Mon Sep 17 22:20:35 +0000 2018,53,@CNN
0.3382,0.556,0.0,0.444,Mon Sep 17 22:20:33 +0000 2018,54,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:31 +0000 2018,55,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:31 +0000 2018,56,@CNN
0.5574,0.841,0.0,0.159,Mon Sep 17 22:20:31 +0000 2018,57,@CNN
-0.2732,0.769,0.14,0.09,Mon Sep 17 22:20:31 +0000 2018,58,@CNN
-0.0516,0.585,0.211,0.205,Mon Sep 17 22:20:30 +0000 2018,59,@CNN
0.3612,0.731,0.078,0.192,Mon Sep 17 22:20:28 +0000 2018,60,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:27 +0000 2018,61,@CNN
-0.4767,0.871,0.129,0.0,Mon Sep 17 22:20:26 +0000 2018,62,@CNN
0.5574,0.841,0.0,0.159,Mon Sep 17 22:20:26 +0000 2018,63,@CNN
0.2716,0.884,0.0,0.116,Mon Sep 17 22:20:24 +0000 2018,64,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:24 +0000 2018,65,@CNN
-0.6124,0.792,0.208,0.0,Mon Sep 17 22:20:24 +0000 2018,66,@CNN
-0.6369,0.698,0.302,0.0,Mon Sep 17 22:20:21 +0000 2018,67,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:20 +0000 2018,68,@CNN
-0.872,0.488,0.429,0.084,Mon Sep 17 22:20:20 +0000 2018,69,@CNN
0.0258,0.879,0.059,0.063,Mon Sep 17 22:20:20 +0000 2018,70,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:19 +0000 2018,71,@CNN
-0.0572,0.947,0.053,0.0,Mon Sep 17 22:20:17 +0000 2018,72,@CNN
0.5574,0.679,0.096,0.225,Mon Sep 17 22:20:16 +0000 2018,73,@CNN
0.34,0.809,0.07,0.121,Mon Sep 17 22:20:16 +0000 2018,74,@CNN
0.7506,0.766,0.0,0.234,Mon Sep 17 22:20:14 +0000 2018,75,@CNN
0.5574,0.841,0.0,0.159,Mon Sep 17 22:20:11 +0000 2018,76,@CNN
-0.4588,0.612,0.23,0.158,Mon Sep 17 22:20:11 +0000 2018,77,@CNN
-0.2516,0.73,0.135,0.135,Mon Sep 17 22:20:11 +0000 2018,78,@CNN
-0.3818,0.435,0.565,0.0,Mon Sep 17 22:20:09 +0000 2018,79,@CNN
0.0,1.0,0.0,0.0,Mon Sep 17 22:20:06 +0000 2018,80,@CNN
-0.5267,0.805,0.195,0.0,Mon Sep 17 22:20:05 +0000 2018,81,@CNN
